iteration	errD	errG	D_x	D_G_z1	D_G_z2
1	1.47768	1.48274	0.46967	0.51376	0.22705
2	1.17399	1.6293	0.55855	0.43283	0.1982
3	0.88725	1.81034	0.65573	0.35129	0.16736
4	0.66233	2.01124	0.72046	0.26327	0.13843
5	0.48706	2.20492	0.78235	0.19711	0.1147
6	0.36641	2.38593	0.83507	0.15703	0.09583
7	0.27914	2.55358	0.87397	0.12571	0.08082
8	0.22071	2.70198	0.89709	0.10034	0.06934
9	0.19522	2.83339	0.90208	0.08102	0.06051
10	0.16559	2.95854	0.92428	0.07861	0.05319
11	0.14375	3.07414	0.9385	0.07395	0.04753
12	0.11547	3.18336	0.94879	0.05908	0.04311
13	0.10087	3.29165	0.95642	0.05355	0.03866
14	0.08567	3.42074	0.96139	0.04451	0.03377
15	0.07226	3.55286	0.96711	0.03764	0.02972
16	0.0629	3.68373	0.97221	0.03382	0.02596
17	0.05596	3.81046	0.97473	0.02969	0.02276
18	0.03948	4.05529	0.98125	0.0203	0.01784
19	0.0372	4.11544	0.98243	0.01926	0.01682
20	0.03534	4.19804	0.9832	0.01818	0.01546
21	0.04631	4.28641	0.98441	0.02884	0.01429
22	0.07809	4.34939	0.98639	0.04994	0.01371
23	0.07467	4.41844	0.98743	0.05035	0.01285
24	0.05431	4.49492	0.98779	0.03591	0.01172
25	0.04238	4.56856	0.98822	0.02722	0.01071
26	0.03289	4.63499	0.98903	0.02014	0.00997
27	0.0263	4.72	0.98973	0.01508	0.00931
28	0.02382	4.77975	0.98975	0.013	0.00875
29	0.02244	4.86963	0.99071	0.01279	0.00798
30	0.02338	4.9495	0.98923	0.01222	0.00771
31	0.02034	5.05488	0.99082	0.0109	0.00701
32	0.01686	5.19413	0.99258	0.00928	0.00597
33	0.015	5.34137	0.99336	0.00825	0.00517
34	0.01298	5.48152	0.994	0.00691	0.0045
35	0.01052	5.69823	0.99614	0.00661	0.00379
36	0.00972	5.7717	0.9962	0.00588	0.00349
37	0.00865	5.88552	0.99649	0.00511	0.00299
38	0.0074	6.00817	0.99669	0.00407	0.00263
39	0.00769	6.12989	0.99703	0.0047	0.0023
40	0.00625	6.22712	0.99737	0.0036	0.00219
41	0.00598	6.32944	0.99745	0.00341	0.00198
42	0.00572	6.44105	0.99784	0.00355	0.00175
43	0.00609	6.55302	0.99804	0.00411	0.00156
44	0.00506	6.67035	0.998	0.00305	0.00141
45	0.00474	6.75644	0.99808	0.0028	0.00136
46	0.00446	6.85324	0.99845	0.0029	0.00122
47	0.00368	6.9543	0.99867	0.00234	0.00116
48	0.00326	7.08372	0.99873	0.00198	0.00099
49	0.00268	7.19755	0.99885	0.00153	0.00086
50	0.00278	7.28393	0.99897	0.00175	0.00076
51	0.0025	7.40262	0.99912	0.00162	0.00068
52	0.00155	7.711	0.99931	0.00086	0.00046
53	0.0013	7.78418	0.99941	0.00071	0.00043
54	0.00112	7.8761	0.99947	0.00059	0.00039
